project_url,n_dev,truck_factor,gini_commits,proj_failed
https://github.com/microsoft/botbuilder-python.git,81,3,0.8003326437061375,0
https://github.com/microsoft/hummingbird.git,39,2,0.8357905982905984,1
https://github.com/microsoft/nni.git,190,6,0.840557069965751,1
https://github.com/microsoft/tf2-gnn.git,6,1,0.6225710014947683,1
https://github.com/milvus-io/bootcamp.git,2,1,0.30000000000000004,0
https://github.com/mittagessen/kraken.git,32,1,0.9292937665782492,0
https://github.com/mljar/mljar-supervised.git,33,1,0.9139335241030158,0
https://github.com/mlmed/torchxrayvision.git,10,1,0.8527980535279804,0
https://github.com/mlperf/inference.git,122,6,0.7864901124751893,0
https://github.com/mlperf/training.git,62,3,0.6721638274737223,0
https://github.com/mnicnc404/CartoonGan-tensorflow.git,4,1,0.5085669781931463,1
https://github.com/molecularsets/moses.git,19,2,0.7007518796992482,1
https://github.com/mozilla/TTS.git,52,1,0.9221702615002865,1
https://github.com/mozilla/bugbug.git,113,2,0.9425434159359256,0
https://github.com/mozilla/fathom.git,23,1,0.9005804689278398,1
https://github.com/mpariente/asteroid.git,54,1,0.9007702392658143,1
https://github.com/mravanelli/pytorch-kaldi.git,14,2,0.7079566003616637,1
https://github.com/namisan/mt-dnn.git,20,1,0.8635738831615121,1
https://github.com/nanoporetech/medaka.git,22,1,0.8667627045914301,1
https://github.com/natethegreate/hent-AI.git,49,2,0.8195841716968477,1
https://github.com/nerox8664/pytorch2keras.git,13,1,0.8581560283687943,1
https://github.com/nicolas-chaulet/torch-points3d.git,27,2,0.8490847169008089,1
https://github.com/norse/norse.git,26,2,0.8470043470043469,0
https://github.com/numenta/nupic.torch.git,10,1,0.6279720279720278,1
https://github.com/nussl/nussl.git,11,2,0.6761914081612683,1
https://github.com/nutonomy/nuscenes-devkit.git,38,1,0.7404408457040035,1
https://github.com/nyanp/nyaggle.git,10,1,0.7711538461538461,1
https://github.com/nyu-mll/jiant.git,54,4,0.7692771084337349,1
https://github.com/onnx/keras-onnx.git,16,1,0.8467789598108748,1
https://github.com/onnx/onnx-tensorflow.git,40,2,0.8280120481927711,1
https://github.com/onnx/onnxmltools.git,48,3,0.7470238095238095,0
https://github.com/onnx/tensorflow-onnx.git,107,5,0.8641364402220313,0
https://github.com/open-mmlab/mmfashion.git,6,2,0.5630630630630631,1
https://github.com/open-mmlab/mmskeleton.git,14,1,0.8536731275424743,1
https://github.com/openseg-group/openseg.pytorch.git,4,1,0.4772727272727273,1
https://github.com/osmr/imgclsmob.git,3,1,0.6652014652014653,1
https://github.com/ottogroup/palladium.git,12,1,0.8016759776536313,1
https://github.com/ownthink/Jiagu.git,4,1,0.6004672897196262,1
https://github.com/parlance/ctcdecode.git,17,2,0.7578222778473092,1
https://github.com/persephone-tools/persephone.git,5,1,0.6470338983050847,1
https://github.com/philipperemy/deep-speaker.git,5,1,0.7673913043478262,1
https://github.com/philipperemy/keract.git,13,1,0.8585131894484412,1
https://github.com/philipperemy/keras-tcn.git,19,1,0.8918794358927091,1
https://github.com/piEsposito/blitz-bayesian-deep-learning.git,16,1,0.8600427350427351,1
https://github.com/podgorskiy/ALAE.git,4,1,0.7397610921501707,1
https://github.com/priya-dwivedi/Deep-Learning.git,1,1,0.0,1
